title,author,genre,cluster_kmeans++,k_used
It's Only the Himalayas,S. Bedford,Travel,7,22
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Unknown,Travel,14,22
See America: A Celebration of Our National Parks & Treasured Sites,Unknown,National Parks And Reserves,1,22
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Shortcut Edition,Business & Economics,7,22
Under the Tuscan Sun,Frances Mayes,Travel,18,22
A Summer In Europe,Marilyn Brant,Travel,1,22
The Great Railway Bazaar,Paul Theroux,Travel,7,22
A Year in Provence (Provence #1),Peter Mayle,Biography & Autobiography,10,22
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Bill Bryson,Travel,7,22
Neither Here nor There: Travels in Europe,Bill Bryson,Humor,1,22
"1,000 Places to See Before You Die",Patricia Schultz,Travel,15,22
Sharp Objects,Gillian Flynn,Mystery,20,22
"In a Dark, Dark Wood",Ruth Ware,Mystery,20,22
The Past Never Ends,Jackson Burnett,Mystery,18,22
A Murder in Time,Julie Mcelwain,Mystery,20,22
The Murder of Roger Ackroyd (Hercule Poirot #4),Agatha Christie,Fiction,11,22
The Last Mile (Amos Decker #2),David Baldacci,Fiction,11,22
That Darkness (Gardiner and Renner #1),Lisa Black,Forensic Scientists,14,22
Tastes Like Fear (DI Marnie Rome #3),Unknown,Mystery,20,22
A Time of Torment (Charlie Parker #14),Charlie Parker,Mystery,14,22
A Study in Scarlet (Sherlock Holmes #1),Sir Arthur Conan Doyle,Mystery,20,22
Poisonous (Max Revere Novels #3),Unknown,Mystery,20,22
Murder at the 42nd Street Library (Raymond Ambler #1),Con Lehane,Fiction,13,22
Most Wanted,Celeste Bradley,Mystery,20,22
Hide Away (Eve Duncan #20),Iris Johansen,"Duncan, Eve (Fictitious Character)",14,22
Boar Island (Anna Pigeon #19),Unknown,Mystery,20,22
The Widow,Georgette Heyer,Mystery,20,22
Playing with Fire,Derek Landy,Mystery,20,22
What Happened on Beale Street (Secrets of the South Mysteries #2),Mary Ellis,Fiction,11,22
